filename,x,y
Frame_20250626_203832_282_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,799.64,397.52
Frame_20250626_203854_284_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,796.99,412.22
Frame_20250626_204635_286_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,773.53,382.98
Frame_20250626_205057_288_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,524.83,334.56
Frame_20250626_205424_290_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,782.19,314.06
Frame_20250627_062457_000_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,738.21,345.68
Frame_20250627_062551_002_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,434.77,437.44
Frame_20250627_062641_004_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,601.4,362.78
Frame_20250627_062841_006_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,579.57,321.12
Frame_20250627_063226_008_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,599.29,421.73
Frame_20250627_063329_010_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,761.04,377.23
Frame_20250627_063638_012_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,766.07,403.28
Frame_20250627_063729_014_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,528.19,339.08
Frame_20250627_063825_016_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,593.18,439.71
Frame_20250627_063943_018_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,526.27,403.27
Frame_20250627_064101_020_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,479.69,334.875
Frame_20250627_064150_022_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,804.81,402.27
Frame_20250627_064241_024_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,803.04,342.21
Frame_20250627_064421_026_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,763.42,397.04
Frame_20250627_064651_028_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,571.23,415.13
Frame_20250627_064809_030_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,589.07,338.35
Frame_20250627_064858_032_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,784.22,371.81
Frame_20250627_065001_034_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,739.04,318.68
Frame_20250627_065059_036_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,573.27,315.28
Frame_20250627_065621_038_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,642.02,372.82
Frame_20250627_065705_040_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,651.24,326.46
Frame_20250627_065759_042_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,493.58,329.98
Frame_20250627_065850_044_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,751.01,396.3
Frame_20250627_065941_046_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,570.81,368.13
Frame_20250627_070034_048_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,709.74,348.87
Frame_20250627_070206_050_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,717.71,425.62
Frame_20250627_070330_052_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,537.34,459.87
Frame_20250627_072615_054_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,605.29,432.17
Frame_20250627_072725_056_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,579.71,462.76
Frame_20250627_074916_058_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,536.33,399.54
Frame_20250627_075004_060_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,583.57,407.74
Frame_20250627_075410_062_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,416.09,368.72
Frame_20250627_075502_064_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,399.24,350.35
Frame_20250627_075519_066_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,398.64,350.15
Frame_20250627_075535_068_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,393.17,340.72
Frame_20250627_080313_070_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,708.54,346.58
Frame_20250627_080400_072_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,640.14,347.34
Frame_20250627_081105_074_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,615.28,347.31
Frame_20250627_081457_076_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,567.87,339.44
Frame_20250627_081550_078_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,625.08,331.58
Frame_20250627_081640_080_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,638.35,350.36
Frame_20250627_081751_082_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,641.47,431.36
Frame_20250627_082109_084_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,364.95,412.13
Frame_20250627_082610_086_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,548.05,335.14
Frame_20250627_082743_088_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,761.44,323.3
Frame_20250627_082835_090_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,674.68,335.12
Frame_20250627_082944_092_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,782.58,315.67
Frame_20250627_083134_094_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,540.7,376.65
Frame_20250627_083938_096_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,658.71,379.26
Frame_20250627_084040_098_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,696.44,368.11
Frame_20250627_084203_100_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,654.42,365.69
Frame_20250627_084706_102_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,571.21,409.92
Frame_20250627_084801_104_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,585.1,379.2
Frame_20250627_085103_106_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,551.61,351.88
Frame_20250627_085214_108_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,372.88,411.9
